,닉네임,댓글,날짜
46,카미코토 ,언제나 미사카만 바라봅니다 ^ㅅ^ 흐ㅡ규ㅠ,2011.08.20 23:00:34
47,카미코토 ,미사카 미코토만 바라봅니다 ^ㅅ^ 흐ㅡ규ㅠ,2011.08.20 23:17:20
48,카미코토 ,언제나 미사카만 바라봅니다 ^ㅅ^ 흐ㅡ규ㅠ,2011.08.22 16:55:27
49,[JC]死방통행 ,여기서부터는 死방통행이다!,2011.08.25 19:54:58
50,[JC]死방통행 ,여기서부터는 死방통행이다!,2011.08.25 19:56:30
51, 조심해라 ,갤럭시U가 갑이지 ㅡㅡ,2011.09.04 18:18:40
52,대인배✿ ,대인배,2011.09.05 10:21:20
53,대인배✿ ,가라 미스터심플!,2011.09.05 16:17:48
54,카미코토 ,달콤한 설리 흐ㅡ규ㅠ,2011.09.12 19:47:58
55,nera ,안녕하세요. 미래에서 왔습니다.,2011.11.19 00:38:40
56,유입종자조까 ,성지순례,2012.02.29 14:50:45
57,ㅇㅇ시발(125.136),성지순례는 내가 마지막,2012.03.13 16:38:18
58,기동대장 슈뢰드 ,성지순례,2012.06.15 18:35:14
59,ㅋㅌㅊㅍ(118.34),성지순례,2013.01.15 18:21:34
60,씹선비(174.1),엣헴 다들 조슬 까시오!! 내가 막플임,2013.01.21 17:37:57
61,하읏(180.69),하읏,2013.02.14 20:21:29
62,얼룩말(14.44),ㅎㅎ,2013.02.19 12:51:23
63,일베충(39.118),야기분조타!,2013.05.14 20:04:05
64,ㅁㅂㅅㄷ(39.7),설곽,2013.07.22 23:34:56
65,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 01:15:29
66,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 01:15:31
67,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 01:15:34
68,하후(175.198),성지순례,2014.08.26 22:50:10
69,ッコッツ ,성지순례 왔습니다 성지순례 ~~~~ 좋은 대학가게 해주세요 (_ _),2014.10.12 18:33:59
70,BOT ,"안녕하세요. 디시 트래픽의 암적인 존재, 디시봇입니다.",2014.12.30 20:38:57
71,트롤광전사 ,2015년 성지순례 갔다옵니다,2015.02.10 09:31:56
72,春子 ,みんなぁぁぁぁぁぁぁぁ！！！！！！みんなのアイドルはるこだよぉぉぉぉぉぉぉぉ！！！！！！,2015.03.10 20:11:19
73,ㄻ(115.140),풉... 븅시들 2016년에서 왔다 내가 마지막이다 ㅋ,2016.04.08 19:48:52
74,삼색라이트 ,취직하게 해주세요...,2016.04.29 20:11:46
75,ㅇㅇ4(112.150),리제로 개노잼,2016.09.12 23:58:02
76,33(175.118),와.. 2001년글은 태어나서 처음본다ㅋㅋㅋㅋㅋㅋ,2016.09.16 05:06:55
77,이승준(125.178),이렇게 된이상 청와대로 간다!,2016.10.04 22:38:52
78,xeoness(223.62),성지순례왔다. 형 주식 오늘 상한가 가게 해줘.,2016.11.08 14:00:00
79,Meowmere ,---------------------------------막플--------------------------------,2016.11.15 13:03:57
80,ASD(182.226),DFDFDFSDF,2016.12.28 11:35:04
81,ㄹㅇㄹ(218.39),성지순례 왔습니다부러진팔 빨리 낫게 해주시고평화롭게 덕질하게 해주시고돈많이 벌어서 라우라 보데비히 다키마쿠라 갖게 해주세요,2017.01.21 09:00:28
82,관종이(221.155),막댓,2017.07.15 13:52:40
83,sam(211.49),성지순례 왔습니다.,2017.07.29 11:13:35
84,라인친구 ,성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄성지순례자가 되고있습니다.🌑█▀█▄,2017.12.12 11:48:21
85,두산팬개복치(59.10),두산 우승하게 해주삼,2018.02.10 22:20:10
86,제리(39.115),슼,2021.10.08 23:04:32
87,dark0409(114.202),성지순례 왔습니다앞으로 기분 좋은 일만 있고 좋은 반배정에 영어성적 올A로 국제고 골인 그리고 졸업할 땐 내가 꿈꾸던 모에모에 2차원으로 빨려들어가게 해주세요.,2018.02.15 22:48:30
