,닉네임,댓글,날짜
56,sam(211.49),성지순례 왔습니다.,2017.07.29 00:32:21
57,ㅇㅇ(221.138),성지순례왔습니다 제발 제가 열심히좀 살게해주세요,2017.07.31 06:13:22
58,베른 ,아햏햏,2017.09.01 23:25:38
59,ㅇㅇ(185.17),성지순례 왔습니다 대학시험 합격하게 해주세요,2017.09.11 03:43:55
60,성순(121.146),성지순례 왔습니다 아다 떼게 해주세요!!,2017.10.05 13:46:27
61,ㅇㅇ(112.153),방법한다!!,2017.10.10 03:26:33
62,라인친구 ,성지 순례 왔어요! 작가 되게 해주세요!,2017.12.12 11:34:26
63,닉네임(1.230),ㄴ ㅏ ㅁ ㅇ ㅋㅣㅇ ㅔ ㅅ ㅓ         ㅜㅟ성지순리에,2017.12.25 17:14:27
64,갈보년(112.217),🌑 2018년 첫 댓글은 나 갈보년이 차지했다! 🌑,2018.01.09 13:56:58
65,두산팬개복치(59.10),두산 우승하게 해주세요.,2018.02.10 22:17:38
66,dark0409(114.202),성지순례 왔습니다앞으로 기분 좋은 일만 있고 좋은 반배정에 영어성적 올A로 국제고 골인 180 후반 그리고 졸업할 땐 내가 꿈꾸던 모에모에 2차원으로 빨려들어가게 해주세요.,2018.02.15 23:44:47
67,진 헌트(175.223),성지슨례 왔다감관세사 되게 해주세요!!,2018.03.18 01:56:45
68,ㅇㅇ(115.41),방법甲,2018.04.15 12:08:32
69,ㅇㅇ(222.97),정상적인 식사할 수 있게 해주세요  🌑█▀█▄218,2018.05.05 11:14:37
70,dd(218.149),성지순례 왔습니다 리버풀 챔스 우승하게 해주세요,2018.05.26 01:08:19
71,ㅇㅇ(203.229),와 시발 이게 몇십년전이야...,2018.05.26 02:13:23
72,아행행(119.204),성지순례 왔습니다 🌑█▀█▄  솔로탈출 하게 해주세요 🌑█▀█▄  성지순례 왔습니다 🌑█▀█▄  솔로탈출 하게 해주세요 🌑█▀█▄  성지순례 왔습니다 🌑█▀█▄  솔로탈출 하게 해주세요 🌑█▀█▄  성지순례 왔습니다 🌑█▀█▄  솔로탈출 하게 해주세요 🌑█▀█▄  성지순례 왔습니다 🌑█▀█▄  솔로탈출 하게 해주세요 🌑█▀█▄  성지순례 왔습니다 🌑█▀█▄  솔로탈출 하게 해주세요 🌑█▀█▄,2018.06.03 20:13:56
73,Aaaaaa(58.121),나뮈링크타고 성지순례온 씹선빕니다 엣헴엣헴,2018.06.24 23:39:10
74,ㅇㅇ(211.198),성지순례 왔습니다 수연이랑 다시 사랑할 수 있게 해주세요,2018.08.21 23:52:40
75,김ㄱㅇ(157.185),성지순례 왔습니다.. 돈 많이 벌게 해주세요,2018.10.21 10:14:56
76,안녕(59.16),성지순례,2018.10.29 02:17:02
77,손발리(124.111),성지순례,2019.02.21 16:53:52
